id,name,category,xref,provided_by
HP:0032312,Decreased circulating globulin level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031891,Decreased eosinophil count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012213,Decreased glomerular filtration rate,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0020062,Decreased hemoglobin concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0025547,Decreased mean corpuscular hemoglobin concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0025066,Decreased mean corpuscular volume,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0005537,Decreased mean platelet volume,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0045080,Decreased proportion of CD3-positive T cells,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032198,Decreased prothrombin time,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0020060,Decreased red blood cell count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031963,Decreased serum anion gap,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032066,Decreased serum bicarbonate concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0030985,Decreased serum bile concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012101,Decreased serum creatinine,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0040171,Decreased serum testosterone level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031098,Decreased thyroid-stimulating hormone level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032473,Decreased urine urobilinogen,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:191519005,Dementia associated with another disease (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0002014,Diarrhea,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000958,Dry skin,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001260,Dysarthria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002015,Dysphagia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002094,Dyspnea,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0100518,Dysuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000964,Eczema,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000969,Edema,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0020066,Ehlers-Danlos syndrome,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0011227,Elevated C-reactive protein level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0033106,Elevated D-dimers,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003155,Elevated alkaline phosphatase,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031030,Elevated carcinoma antigen 125 level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002910,Elevated hepatic transaminase,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031964,Elevated serum alanine aminotransferase,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031962,Elevated serum anion gap,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031956,Elevated serum aspartate aminotransferase,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032067,Elevated serum bicarbonate concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003259,Elevated serum creatinine,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001880,Eosinophilia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0019391,Fanconi anemia,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0012378,Fatigue,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001945,Fever,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001288,Gait disturbance,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0016218,Guillain-Barre syndrome,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0002315,Headache,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000790,Hematuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001407,Hepatic cysts,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001397,Hepatic steatosis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C155871,Herpes Simplex Virus Infection,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012189,Hodgkin lymphoma,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0007739,Huntington disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0012117,Hyperalbuminemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002904,Hyperbilirubinemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003072,Hypercalcemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012416,Hypercapnia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011423,Hyperchloremia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003124,Hypercholesterolemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0100724,Hypercoagulability,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011899,Hyperfibrinogenemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003074,Hyperglycemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002153,Hyperkalemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003077,Hyperlipidemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002918,Hypermagnesemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003228,Hypernatremia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0033359,Hyperosthenuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002905,Hyperphosphatemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002155,Hypertriglyceridemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003073,Hypoalbuminemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002901,Hypocalcemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012417,Hypocapnia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003113,Hypochloremia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003146,Hypocholesterolemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011900,Hypofibrinogenemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001943,Hypoglycemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002900,Hypokalemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002917,Hypomagnesemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002902,Hyponatremia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002148,Hypophosphatemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003158,Hyposthenuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012153,Hypotriglyceridemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012418,Hypoxemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0030788,Impacted cerumen,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012184,Increased HDL cholesterol concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003141,Increased LDL cholesterol concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031965,Increased RBC distribution width,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031807,Increased basophil count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032263,Increased blood pressure,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003138,Increased blood urea nitrogen,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031506,Increased circulating T4 level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032239,Increased circulating band cell count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0033534,Increased circulating brain natriuretic peptide concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003281,Increased circulating ferritin concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0033077,Increased circulating free T4 level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032311,Increased circulating globulin level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032236,Increased circulating immature neutrophil count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032238,Increased circulating metamyelocyte count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032237,Increased circulating myelocyte count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000870,Increased circulating prolactin concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012214,Increased glomerular filtration rate,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001899,Increased hematocrit,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001900,Increased hemoglobin,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0025435,Increased lactate dehydrogenase level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0025548,Increased mean corpuscular hemoglobin concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0005518,Increased mean corpuscular volume,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011877,Increased mean platelet volume,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032372,Increased peripheral blast count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0020059,Increased red blood cell count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012202,Increased serum bile acid concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002925,Increased thyroid-stimulating hormone level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0410173,Increased troponin I level in blood,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031890,Increased urine urobilinogen,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C167118,Influenza A Virus Positive,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C167118,Influenza B Virus Positive,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000023,Inguinal hernia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0004417,Intermittent claudication,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001386,Joint swelling,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002919,Ketonuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001974,Leukocytosis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001882,Leukopenia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0007488,Lewy body dementia,biolink:Disease,NA,EHR Risk Provider (Multiomics)
NCIT:C159516,Liver Lesion,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C15271,Liver Transplantation,biolink:Procedure,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:711150003,Long-term current use of anticoagulant (situation),null,NA,EHR Risk Provider (Multiomics)
HP:0003282,Low alkaline phosphatase,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0100512,Low levels of vitamin D,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:2415007,Lumbosacral radiculopathy (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
NCIT:C116994,Lupus Anticoagulant Disorder,biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0019632,Lyme disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0002716,Lymphadenopathy,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0007972,Meniere disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0002076,Migraine,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0006775,Multiple myeloma,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003326,Myalgia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002017,Nausea and vomiting,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000787,Nephrolithiasis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:709073001,Neurocognitive disorder (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:386033004,Neuropathy (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0011897,Neutrophilia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032043,Odynophagia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012203,Onychomycosis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000938,Osteopenia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000388,Otitis media,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012531,Pain,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001962,Palpitations,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011999,Paranoia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002385,Paraparesis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0005180,Parkinson disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0033050,Pharyngalgia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0100515,Pollakisuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:201839001,"Primary coxarthrosis, bilateral (disorder)",biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0003645,Prolonged partial thromboplastin time,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0008151,Prolonged prothrombin time,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000093,Proteinuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0008629,Pulsatile tinnitus,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012085,Pyuria,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031969,Reduced blood urea nitrogen,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0008202,Reduced circulating prolactin concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031851,Reduced hematocrit,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011947,Respiratory tract infection,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002923,Rheumatoid factor positive,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NONE,SARS Coronavirus 2 Negative,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C171647,SARS Coronavirus 2 Positive,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:202805003,Sacroiliac disorder (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0001250,Seizure,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0100806,Sepsis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:76571007,Septic shock (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:239792003,Seronegative rheumatoid arthritis (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:239791005,Seropositive rheumatoid arthritis (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:166816003,Serum lipids high (finding),biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0010030,Sjogren syndrome,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0000988,Skin rash,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0010535,Sleep apnea,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0025267,Snoring,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001257,Spasticity,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001297,Stroke,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001649,Tachycardia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001873,Thrombocytopenia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001894,Thrombocytosis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0025388,Thyroid nodule,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000360,Tinnitus,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:197352008,Toxic hepatitis (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:197354009,Toxic liver disease (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:127295002,Traumatic brain injury (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0002617,Vascular dilatation,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002321,Vertigo,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001824,Weight loss,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0030828,Wheezing,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
UNII:7D0YB67S97,abatacept,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
UNII:X85G7936GV,abciximab,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
MONDO:0005227,abscess,biolink:Disease,NA,EHR Risk Provider (Multiomics)
CHEBI:46195,acetaminophen,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
MONDO:0008698,achalasia (disease),biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0011438,acne (disease),biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0005173,actinic keratosis (disease),biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0001650,acute cystitis (disease),biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0010643,acute leukemia (disease),biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0004967,acute lymphoblastic leukemia (disease),biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0018874,acute myeloid leukemia,biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0012883,acute promyelocytic leukemia,biolink:Disease,NA,EHR Risk Provider (Multiomics)
CHEBI:2453,acyclovir,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
UNII:FYS6T7F842,adalimumab,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
MONDO:0005495,adrenal gland disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
CHEBI:2549,albuterol,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
MONDO:0002046,alcohol abuse,biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0001505,alcoholic hepatitis,biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0043693,alcoholic liver diseases,biolink:Disease,NA,EHR Risk Provider (Multiomics)
UNII:4988K7X26P,alendronate,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
UNII:PP0SHH6V16,alirocumab,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
CHEBI:601027,aliskiren,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
MONDO:0011786,allergic rhinitis,biolink:Disease,NA,EHR Risk Provider (Multiomics)
CHEBI:40279,allopurinol,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
MONDO:0005340,alopecia areata,biolink:Disease,NA,EHR Risk Provider (Multiomics)
CHEBI:2611,alprazolam,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
UNII:1RXS4UE564,alteplase,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
CHEBI:2637,amikacin,biolink:ChemicalSubstance,NA,EHR Risk Provider (Multiomics)
